Zip Code,City,State,Representative
99790,Fairbanks North Star,Alaska,"Don Young"
99791,North Slope,Alaska,"Don Young"
99801,Juneau,Alaska,"Don Young"
99802,Juneau,Alaska,"Don Young"
99803,Juneau,Alaska,"Don Young"
99811,Juneau,Alaska,"Don Young"
99812,Juneau,Alaska,"Don Young"
99820,Skagway Hoonah Angoon,Alaska,"Don Young"
99821,Juneau,Alaska,"Don Young"
99824,Juneau,Alaska,"Don Young"
99825,Skagway Hoonah Angoon,Alaska,"Don Young"
99826,Skagway Hoonah Angoon,Alaska,"Don Young"
99827,Haines,Alaska,"Don Young"
99829,Skagway Hoonah Angoon,Alaska,"Don Young"
99830,Wrangell Petersburg,Alaska,"Don Young"
99832,Skagway Hoonah Angoon,Alaska,"Don Young"
99833,Wrangell Petersburg,Alaska,"Don Young"
99835,Sitka,Alaska,"Don Young"
99836,Wrangell Petersburg,Alaska,"Don Young"
99840,Skagway Hoonah Angoon,Alaska,"Don Young"
99841,Skagway Hoonah Angoon,Alaska,"Don Young"
99850,Juneau,Alaska,"Don Young"
99901,Ketchikan Gateway,Alaska,"Don Young"
99903,Prince Wales Ketchikan,Alaska,"Don Young"
99918,Prince Wales Ketchikan,Alaska,"Don Young"
99919,Prince Wales Ketchikan,Alaska,"Don Young"
99921,Prince Wales Ketchikan,Alaska,"Don Young"
99922,Prince Wales Ketchikan,Alaska,"Don Young"
99923,Prince Wales Ketchikan,Alaska,"Don Young"
99925,Prince Wales Ketchikan,Alaska,"Don Young"
99926,Prince Wales Ketchikan,Alaska,"Don Young"
99927,Prince Wales Ketchikan,Alaska,"Don Young"
99928,Ketchikan Gateway,Alaska,"Don Young"
99929,Wrangell Petersburg,Alaska,"Don Young"
99950,Ketchikan Gateway,Alaska,"Don Young"
35004,Saint Clair,Alabama,"Mike Rogers"
35005,Jefferson,Alabama,"Gary J. Palmer, Terri A. Sewell"
35006,Jefferson,Alabama,"Robert B. Aderholt, Gary J. Palmer, Terri A. Sewell"
35007,Shelby,Alabama,"Gary J. Palmer"
35010,Tallapoosa,Alabama,"Martha Roby, Mike Rogers, Gary J. Palmer"
