Zip Code,City,State,Representative
99703,Fairbanks North Star,Alaska,"Don Young (link is external),"
99704,Denali,Alaska,"Don Young (link is external),"
99705,Fairbanks North Star,Alaska,"Don Young (link is external),"
99706,Fairbanks North Star,Alaska,"Don Young (link is external),"
99707,Fairbanks North Star,Alaska,"Don Young (link is external),"
99708,Fairbanks North Star,Alaska,"Don Young (link is external),"
99709,Fairbanks North Star,Alaska,"Don Young (link is external),"
99710,Fairbanks North Star,Alaska,"Don Young (link is external),"
99711,Fairbanks North Star,Alaska,"Don Young (link is external),"
99712,Fairbanks North Star,Alaska,"Don Young (link is external),"
99714,Fairbanks North Star,Alaska,"Don Young (link is external),"
99716,Fairbanks North Star,Alaska,"Don Young (link is external),"
99720,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99721,North Slope,Alaska,"Don Young (link is external),"
99722,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99723,North Slope,Alaska,"Don Young (link is external),"
99724,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99725,Fairbanks North Star,Alaska,"Don Young (link is external),"
99726,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99727,Northwest Arctic,Alaska,"Don Young (link is external),"
99729,Denali,Alaska,"Don Young (link is external),"
99730,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99731,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99732,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99733,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99734,North Slope,Alaska,"Don Young (link is external),"
99736,Northwest Arctic,Alaska,"Don Young (link is external),"
99737,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99738,Southeast Fairbanks,Alaska,"Don Young (link is external),"
99739,Nome,Alaska,"Don Young (link is external),"
99740,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99741,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99742,Nome,Alaska,"Don Young (link is external),"
99743,Denali,Alaska,"Don Young (link is external),"
99744,Denali,Alaska,"Don Young (link is external),"
99745,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99746,Yukon Koyukuk,Alaska,"Don Young (link is external),"
99747,North Slope,Alaska,"Don Young (link is external),"
